meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1238,9539,1,3,2024-06-23T13:05:57.934000+00:00,23.249,32.086,24.029,266.0,269,False,79.364,"[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",324.0
1238,9539,4,3,2024-06-23T13:05:59.108000+00:00,23.9,32.182,24.161,254.0,267,False,80.243,"[None, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2049]",321.0
1238,9539,44,3,2024-06-23T13:05:59.855000+00:00,23.619,32.545,24.257,259.0,264,False,80.421,"[2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",328.0
1238,9539,16,3,2024-06-23T13:06:01.176000+00:00,24.178,32.792,24.317,253.0,273,False,81.287,"[None, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048]",307.0
1238,9539,55,3,2024-06-23T13:06:01.668000+00:00,23.274,32.6,24.172,255.0,269,False,80.046,"[2049, 2049, 2051, 2051, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 0]",334.0
1238,9539,10,3,2024-06-23T13:06:02.586000+00:00,23.706,32.595,24.505,262.0,264,False,80.806,"[None, 2049, 2049, 2049, 2051, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048]",320.0
1238,9539,81,3,2024-06-23T13:06:03.449000+00:00,23.771,32.438,24.556,263.0,274,False,80.765,"[None, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048]",323.0
1238,9539,31,3,2024-06-23T13:06:04.384000+00:00,23.898,32.515,24.396,263.0,268,False,80.809,"[None, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2049, 2049, 2049]",325.0
1238,9539,27,3,2024-06-23T13:06:04.994000+00:00,24.077,32.734,24.572,257.0,278,False,81.383,"[2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048]",334.0
1238,9539,11,3,2024-06-23T13:06:05.654000+00:00,24.119,33.112,24.618,249.0,262,False,81.849,"[None, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048]",328.0
1238,9539,14,3,2024-06-23T13:06:06.507000+00:00,24.139,33.133,24.64,256.0,259,False,81.912,"[None, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2049]",329.0
1238,9539,18,3,2024-06-23T13:06:07.048000+00:00,24.137,33.141,24.726,245.0,246,False,82.004,"[None, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048]",334.0
1238,9539,77,3,2024-06-23T13:06:07.576000+00:00,24.067,33.276,24.77,249.0,251,False,82.113,"[None, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048]",333.0
1238,9539,22,3,2024-06-23T13:06:08.147000+00:00,24.042,33.254,24.897,258.0,257,False,82.193,"[None, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049]",332.0
1238,9539,20,3,2024-06-23T13:06:08.555000+00:00,23.884,33.381,24.837,245.0,258,False,82.102,"[2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2048, 2048]",337.0
1238,9539,24,3,2024-06-23T13:06:08.920000+00:00,24.001,33.487,25.028,231.0,248,False,82.516,"[2051, 2051, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2049, 2049, 2048, 2048]",337.0
1238,9539,3,3,2024-06-23T13:06:09.272000+00:00,24.091,33.457,25.104,246.0,260,False,82.652,"[None, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048]",336.0
1238,9539,2,3,2024-06-23T13:06:09.864000+00:00,24.195,33.352,24.944,249.0,253,False,82.491,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048]",329.0
1238,9539,23,3,2024-06-23T13:06:11.070000+00:00,24.344,32.927,24.9,260.0,257,False,82.171,"[None, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2048, 2048]",310.0
1238,9539,1,4,2024-06-23T13:07:17.289000+00:00,24.251,32.339,24.176,261.0,265,False,80.766,"[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",292.0
1238,9539,63,4,2024-06-23T13:07:18.347000+00:00,24.258,32.472,24.113,256.0,273,False,80.843,"[None, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048]",300.0
1238,9539,4,4,2024-06-23T13:07:19.348000+00:00,24.1,32.487,24.115,250.0,268,False,80.702,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",318.0
1238,9539,44,4,2024-06-23T13:07:20.258000+00:00,23.788,32.624,24.084,,268,False,80.496,"[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048]",324.0
1238,9539,55,4,2024-06-23T13:07:21.494000+00:00,23.954,32.539,24.133,267.0,277,False,80.626,"[2048, 2048, 2048, 2048, 2049, 2049, 2051]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",304.0
1238,9539,16,4,2024-06-23T13:07:22.367000+00:00,23.973,32.407,24.189,261.0,274,False,80.569,"[None, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2051]","[2048, 2048, 2048, 2049, 2048, 2048]",327.0
1238,9539,10,4,2024-06-23T13:07:23.345000+00:00,23.732,32.56,24.387,266.0,269,False,80.679,"[2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",
1238,9539,81,4,2024-06-23T13:07:24.348000+00:00,,32.542,24.484,,273,False,,"[2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",321.0
1238,9539,31,4,2024-06-23T13:07:25.189000+00:00,23.88,32.786,24.589,262.0,266,False,81.255,"[2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",
1238,9539,27,4,2024-06-23T13:07:26.305000+00:00,24.264,32.915,24.77,264.0,267,False,81.949,"[2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048]",306.0
1238,9539,11,4,2024-06-23T13:07:27.588000+00:00,24.609,32.935,24.553,256.0,257,False,82.097,"[2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048]",301.0
1238,9539,14,4,2024-06-23T13:07:28.407000+00:00,24.476,32.834,24.645,260.0,262,False,81.955,"[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049]",323.0
1238,9539,18,4,2024-06-23T13:07:29.063000+00:00,24.372,33.032,24.724,238.0,268,False,82.128,"[2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048]",327.0
1238,9539,77,4,2024-06-23T13:07:29.650000+00:00,24.191,33.3,24.8,255.0,255,False,82.291,"[2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2049, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",326.0
